,dist,x_pos,y_pos,width,height
0,10,261.2601013183594,180.433349609375,224.18429565429688,259.5424499511719
1,10,239.9099884033203,81.72262573242188,182.59605407714844,201.4202880859375
2,10,257.5073547363281,180.85040283203125,224.89578247070312,260.96856689453125
3,10,276.4941101074219,73.14195251464844,226.62478637695312,247.2071990966797
4,10,260.5325927734375,167.41531372070312,228.51763916015625,249.15548706054688
5,10,274.7899169921875,162.96524047851562,227.90435791015625,254.57571411132812
6,10,293.26324462890625,143.82843017578125,227.45062255859375,256.0222473144531
7,10,208.98532104492188,170.88168334960938,164.17471313476562,191.0682373046875
8,10,268.7212219238281,93.10616302490234,157.93838500976562,177.24838256835938
9,10,236.39019775390625,158.0005340576172,209.08456420898438,232.44581604003906
10,20,265.8800964355469,177.38729858398438,225.34396362304688,260.7725524902344
11,20,239.18157958984375,180.2743682861328,159.06668090820312,181.1553497314453
12,20,241.3094482421875,121.7852783203125,160.16421508789062,179.94229125976562
13,20,294.2392578125,146.35609436035156,218.25830078125,246.22752380371094
14,20,278.067626953125,95.54917907714844,158.0157470703125,182.31394958496094
15,20,209.7075653076172,169.50564575195312,164.14710998535156,188.14004516601562
16,20,278.3056945800781,123.60477447509766,158.92080688476562,180.35427856445312
17,20,270.988037109375,139.91372680664062,266.26165771484375,279.0000915527344
18,20,273.0648193359375,161.5294647216797,224.1195068359375,245.6879119873047
19,20,252.01382446289062,180.0138397216797,225.51327514648438,263.15106201171875
20,30,295.7681884765625,142.5991668701172,224.9644775390625,256.52915954589844
21,30,265.01190185546875,143.77557373046875,222.415771484375,245.1070556640625
22,30,275.37115478515625,138.99014282226562,234.66860961914062,268.42864990234375
23,30,276.6777038574219,140.36257934570312,234.21023559570312,269.2812805175781
24,30,270.861083984375,143.64755249023438,227.88015747070312,261.2929992675781
25,30,306.32354736328125,101.8376235961914,157.070556640625,179.39083862304688
26,30,268.2207946777344,139.8244171142578,215.72775268554688,243.5368194580078
27,30,234.51705932617188,94.34143829345703,173.87118530273438,196.72518920898438
28,30,254.34339904785156,147.76165771484375,224.63099670410156,253.8778076171875
29,30,253.2878875732422,174.0175323486328,216.76112365722656,252.68821716308594
30,40,240.00375366210938,88.44466400146484,173.83157348632812,191.888671875
31,40,274.6664733886719,163.4082794189453,226.79220581054688,254.1409149169922
32,40,284.15948486328125,98.49571990966797,157.37075805664062,181.79092407226562
33,40,265.8800964355469,177.38729858398438,225.34396362304688,260.7725524902344
34,40,243.29080200195312,157.84878540039062,211.86004638671875,234.84814453125
35,40,202.21755981445312,154.8241729736328,163.59237670898438,184.69956970214844
36,40,311.57763671875,134.1237335205078,225.11566162109375,252.5325469970703
37,40,219.69326782226562,142.82740783691406,219.28549194335938,242.77024841308594
38,40,269.1534118652344,119.13606262207031,155.86477661132812,176.72044372558594
39,40,267.79498291015625,93.88864135742188,157.3099365234375,177.22921752929688
40,50,213.7238311767578,162.01649475097656,166.73020935058594,191.04896545410156
41,50,281.62396240234375,107.13648223876953,156.60174560546875,178.87686157226562
42,50,262.67572021484375,140.03392028808594,222.31246948242188,246.8505401611328
43,50,278.0577697753906,137.74270629882812,234.88137817382812,271.9778747558594
44,50,290.0772705078125,70.59333801269531,222.88150024414062,242.23951721191406
45,50,238.56756591796875,119.55416107177734,158.16387939453125,174.82861328125
46,50,276.1990966796875,120.160888671875,156.9796142578125,179.67718505859375
47,50,224.2448272705078,154.887451171875,225.21815490722656,244.88253784179688
48,50,272.4576416015625,130.48516845703125,261.84503173828125,274.18878173828125
49,50,243.29080200195312,157.84878540039062,211.86004638671875,234.84814453125
50,60,279.37359619140625,132.02040100097656,216.899658203125,242.5273895263672
51,60,263.35174560546875,136.0557861328125,221.87396240234375,249.69418334960938
52,60,209.7075653076172,169.50564575195312,164.14710998535156,188.14004516601562
53,60,321.3785095214844,122.41072845458984,232.26284790039062,267.913818359375
54,60,279.0030517578125,87.05061340332031,230.3504638671875,243.3989715576172
55,60,239.55612182617188,190.19625854492188,156.19744873046875,174.99331665039062
56,60,322.9713134765625,129.127197265625,154.3292236328125,178.782470703125
57,60,270.51922607421875,186.2993621826172,225.92587280273438,259.31591796875
58,60,323.97247314453125,123.54003143310547,156.36038208007812,181.16445922851562
59,60,275.067626953125,107.52204895019531,246.9720458984375,268.077392578125
60,70,344.3282470703125,128.80496215820312,155.57977294921875,179.3311767578125
61,70,260.5325927734375,167.41531372070312,228.51763916015625,249.15548706054688
62,70,289.15338134765625,139.96429443359375,222.05947875976562,262.98675537109375
63,70,299.7506408691406,133.91152954101562,154.14749145507812,176.70367431640625
64,70,243.05804443359375,161.81661987304688,226.35693359375,253.671875
65,70,277.62744140625,140.0275421142578,236.0589599609375,271.8431396484375
66,70,249.85427856445312,159.1024169921875,228.79159545898438,269.13580322265625
67,70,315.1770324707031,124.4010009765625,230.90286254882812,265.6042175292969
68,70,290.3226013183594,117.29113006591797,156.58575439453125,180.05722045898438
69,70,308.7168884277344,132.14247131347656,216.09378051757812,256.2376251220703
70,80,254.2206573486328,148.66259765625,226.31480407714844,256.0228271484375
71,80,238.36685180664062,119.56041717529297,180.68246459960938,199.45211791992188
72,80,265.01190185546875,143.77557373046875,222.415771484375,245.1070556640625
73,80,245.44842529296875,177.9759063720703,220.87957763671875,253.0015411376953
74,80,241.5666961669922,154.88316345214844,209.16551208496094,234.91102600097656
75,80,243.05804443359375,161.81661987304688,226.35693359375,253.671875
76,80,257.5073547363281,180.85040283203125,224.89578247070312,260.96856689453125
77,80,292.37628173828125,123.38555908203125,154.04562377929688,181.122314453125
78,80,264.5643005371094,142.91200256347656,229.99481201171875,265.63226318359375
79,80,279.7452087402344,138.51263427734375,223.34463500976562,247.67196655273438
80,90,248.62118530273438,106.15917205810547,172.43826293945312,200.05926513671875
81,90,265.0940246582031,164.48133850097656,159.10647583007812,173.53834533691406
82,90,290.0772705078125,70.59333801269531,222.88150024414062,242.23951721191406
83,90,223.3968505859375,139.19151306152344,155.03842163085938,178.9010467529297
84,90,278.4867858886719,147.33590698242188,229.40798950195312,255.97589111328125
85,90,264.5643005371094,142.91200256347656,229.99481201171875,265.63226318359375
86,90,272.92071533203125,161.3572540283203,226.51422119140625,251.1534881591797
87,90,240.89620971679688,158.28573608398438,227.69610595703125,247.92254638671875
88,90,241.3094482421875,121.7852783203125,160.16421508789062,179.94229125976562
89,90,253.9942169189453,149.4886932373047,225.6300506591797,256.11827087402344
90,100,298.3768310546875,142.61996459960938,156.22042846679688,175.15286254882812
91,100,271.4407958984375,149.94003295898438,262.600830078125,286.6723327636719
92,100,239.18157958984375,180.2743682861328,159.06668090820312,181.1553497314453
