dist,x_pos,y_pos,width,height,devi
10,-10.69454193,231.1468964,639.5593262,255.3798676,-330.6945419
10,-5.775375366,227.9297638,667.4064331,261.440918,-325.7753754
10,-5.415992737,227.3333435,666.4885254,262.089447,-325.4159927
10,-4.922599792,228.1376953,665.4822388,261.4321594,-324.9225998
10,-5.265235901,227.4568939,666.8792725,261.9577637,-325.2652359
10,-7.154388428,226.4996033,668.2478027,262.5860901,-327.1543884
10,-10.01428604,231.1035919,640.1790771,254.9048004,-330.014286
10,-9.558925629,231.2869568,639.6449585,255.32547,-329.5589256
10,-8.830337524,231.334198,638.6221924,254.8300171,-328.8303375
20,-21.41231537,155.8545532,643.9959717,326.0019226,-341.4123154
20,-21.35824203,156.8608856,643.3946533,325.1867676,-341.358242
20,-21.35267258,156.4793091,643.262085,325.5334473,-341.3526726
20,-21.54260635,156.3445435,644.1768799,325.5068359,-341.5426064
20,-22.28504181,157.6043243,644.4359131,324.4594116,-342.2850418
20,-13.39914322,165.6261597,644,315.1191406,-333.3991432
20,-13.27888489,164.2747955,644.0126953,316.3429565,-333.2788849
20,-12.70637512,164.5995636,642.9556274,316.102417,-332.7063751
20,-12.34767914,164.146637,643.4172974,316.4589233,-332.3476791
20,-12.43999481,164.0363464,642.9197998,316.5957947,-332.4399948
30,73.16644287,130.7749329,496.2676392,366.0585327,-246.8335571
30,43.56899261,137.1714935,509.433136,345.684021,-276.4310074
30,87.06137085,130.4728851,481.9455872,352.5484009,-232.9386292
30,73.49935913,130.7824554,496.4341125,366.4789429,-246.5006409
30,43.58734131,137.2982788,509.3181763,345.4635925,-276.4126587
30,73.45465088,131.0305634,496.015564,366.0986938,-246.5453491
30,43.61619949,136.9706726,509.1380005,346.1048889,-276.3838005
30,43.58963013,136.9907074,510.3379822,345.9390259,-276.4103699
30,43.75764847,137.5286713,508.948822,346.048645,-276.2423515
30,87.13546753,130.234726,481.1988831,352.6542358,-232.8645325
40,132.2388916,111.1963196,376.994873,373.9238892,-187.7611084
40,111.6008148,102.7919769,398.449646,382.8457031,-208.3991852
40,111.5022278,103.2849274,398.0909119,382.1551514,-208.4977722
40,111.6637421,103.4816818,398.2666626,382.5437622,-208.3362579
40,111.8358002,102.905304,397.9185181,382.580658,-208.1641998
40,132.0131836,111.5344086,377.1164551,373.0675659,-187.9868164
40,132.2012177,110.7056351,377.2236938,373.6100769,-187.7987823
40,132.012085,111.1829453,377.1383972,373.5355835,-187.987915
40,132.0559845,110.8199387,377.1569824,373.3790894,-187.9440155
40,111.9437256,103.0846863,397.9844971,382.1650696,-208.0562744
50,150.6641846,82.42183685,315.0496826,364.0992126,-169.3358154
50,150.6333466,82.0137558,314.9082642,364.5868835,-169.3666534
50,150.2078552,82.55221558,315.8511047,364.366394,-169.7921448
50,150.2157745,82.58973694,316.0800171,364.0826416,-169.7842255
50,150.2253113,82.27515411,315.9587708,364.8061523,-169.7746887
50,137.2622528,73.94886017,329.7603149,372.911377,-182.7377472
50,137.1556702,74.02672577,330.2585144,373.2887878,-182.8443298
50,137.1241608,74.41847229,330.6340942,372.1158447,-182.8758392
50,137.6040039,74.33264923,329.8482666,371.9876404,-182.3959961
50,137.5732727,74.44988251,329.8078918,372.0331421,-182.4267273
60,185.510437,72.13311005,264.9642944,314.2080078,-134.489563
60,185.742981,71.92315674,264.934082,314.8664551,-134.257019
60,185.6855621,72.73109436,265.2946777,313.0990601,-134.3144379
60,179.8608704,73.17147827,271.5383606,317.1057739,-140.1391296
60,185.7963257,71.9823761,265.0944214,314.0762329,-134.2036743
60,179.9681091,72.48001099,271.5781555,318.0889587,-140.0318909
60,179.6670685,72.40410614,272.3563232,318.1560059,-140.3329315
60,179.1990967,73.01819611,272.5666504,317.5787964,-140.8009033
60,185.3627319,72.65702057,265.4780884,313.6997986,-134.6372681
60,180.6378021,73.13192749,270.9495239,317.6417542,-139.3621979
70,203.0392761,70.53572845,242.6087952,267.7738953,-116.9607239
70,203.7047119,71.10806274,241.182312,264.0166016,-116.2952881
70,203.8530273,71.9388504,240.6867065,265.9530334,-116.1469727
70,190.6695709,59.76307678,245.5453339,279.3482666,-129.3304291
70,195.4082947,58.55688477,243.9107971,283.8025818,-124.5917053
70,207.0550537,72.83487701,237.8554077,262.8206482,-112.9449463
70,196.2545013,59.02785492,243.5761261,284.4054871,-123.7454987
70,204.9870911,68.92500305,239.1484375,269.2875977,-115.0129089
70,196.0741882,58.33856201,242.2061462,283.7709656,-123.9258118
70,196.2075195,59.57419586,244.0618286,282.4711609,-123.7924805
80,199.1160583,53.88275909,223.6667175,246.9028625,-120.8839417
80,199.5545959,53.85944366,223.5115967,246.3565369,-120.4454041
80,199.4801331,53.80389786,223.3807068,246.1611023,-120.5198669
80,199.2266541,53.65326309,223.9437866,246.4409485,-120.7733459
80,199.3255768,53.9756012,223.5086823,247.0603485,-120.6744232
80,214.540329,59.28521729,218.3491669,242.465332,-105.459671
80,214.5585632,59.30130768,218.839447,241.9516296,-105.4414368
80,214.5747223,59.27772141,218.4689789,242.5504913,-105.4252777
80,214.8400116,59.07421494,218.5762177,242.0611572,-105.1599884
80,214.648407,59.37918854,218.7430115,242.0995178,-105.351593
90,223.6445313,49.51569366,193.0636292,228.3635254,-96.35546875
90,223.6945496,49.26970673,193.2125854,229.0666809,-96.30545044
90,223.6199188,49.06443405,193.1637726,229.1363678,-96.38008118
90,223.5669556,49.61920929,193.3659668,228.539856,-96.43304443
90,223.6798096,49.65906906,193.4157715,228.4600983,-96.32019043
90,215.4814148,39.51199341,204.0502319,222.533783,-104.5185852
90,215.5845337,39.44670486,203.9339905,223.1032867,-104.4154663
90,215.5771484,39.02272797,204.1790161,223.1746521,-104.4228516
90,215.6515503,39.33607483,203.8905029,222.8766327,-104.3484497
90,215.472229,39.42442322,204.0507202,222.9952545,-104.527771
100,206.3731384,49.91143799,205.6238098,197.8777924,-113.6268616
100,231.3422852,45.32479095,189.0322571,206.9755859,-88.65771484
100,231.3157043,45.06562424,189.7396851,207.9520416,-88.68429565
