dist,x_pos,y_pos,width,height,devi
10,13.233833312988281,11.188737869262695,528.2504272460938,295.70526123046875,-946.7661666870117
10,429.3861389160156,236.2359619140625,497.1870422363281,497.36859130859375,-530.6138610839844
30,491.62799072265625,889.795166015625,959.5346069335938,199.989013671875,-468.37200927734375
30,502.4198913574219,888.7048950195312,961.1217041015625,200.89178466796875,-457.5801086425781
30,498.70355224609375,890.126708984375,951.4697875976562,199.349365234375,-461.29644775390625
30,503.8819274902344,888.6885375976562,963.6068115234375,199.58880615234375,-456.1180725097656
30,500.8206787109375,890.03271484375,962.7056884765625,199.007080078125,-459.1793212890625
40,591.5213012695312,825.7131958007812,881.8023071289062,248.50921630859375,-368.47869873046875
40,592.0930786132812,824.4810791015625,879.3301391601562,250.3853759765625,-367.90692138671875
40,590.500732421875,826.255126953125,883.0130615234375,247.9324951171875,-369.499267578125
40,581.28662109375,830.1607055664062,893.82666015625,246.22491455078125,-378.71337890625
40,612.4942016601562,827.0902709960938,843.9766235351562,243.74017333984375,-347.50579833984375
50,649.26171875,773.9021606445312,713.2606201171875,307.41693115234375,-310.73828125
50,651.4114990234375,770.5827026367188,711.762939453125,309.68524169921875,-308.5885009765625
50,650.0449829101562,770.6260986328125,712.1798706054688,309.7867431640625,-309.95501708984375
50,651.6572265625,771.1436767578125,712.483154296875,308.759521484375,-308.3427734375
50,652.5230102539062,773.5512084960938,710.9292602539062,306.76263427734375,-307.47698974609375
60,718.3631591796875,726.083740234375,590.3238525390625,365.3458251953125,-241.6368408203125
60,715.73828125,724.6034545898438,592.7030029296875,367.20208740234375,-244.26171875
60,717.5113525390625,725.2468872070312,591.933349609375,367.22613525390625,-242.4886474609375
60,718.0440673828125,725.1006469726562,591.3492431640625,366.00335693359375,-241.9559326171875
60,719.1408081054688,726.6806640625,588.7218627929688,365.7811279296875,-240.85919189453125
70,742.95556640625,708.3367309570312,506.8883056640625,380.48785400390625,-217.04443359375
70,743.57861328125,707.88232421875,505.417724609375,381.44091796875,-216.42138671875
70,742.1903686523438,708.8927612304688,506.52227783203125,379.19390869140625,-217.80963134765625
70,742.9737548828125,708.0731811523438,506.210205078125,380.93255615234375,-217.0262451171875
70,742.4955444335938,707.7913818359375,506.15350341796875,380.975830078125,-217.50445556640625
80,771.28076171875,688.4190673828125,432.87255859375,396.36328125,-188.71923828125
80,770.789794921875,689.2247924804688,433.1082763671875,396.58489990234375,-189.210205078125
80,770.5615234375,689.3175048828125,433.3460693359375,395.8436279296875,-189.4384765625
80,769.0455932617188,690.0321044921875,435.40325927734375,395.4947509765625,-190.95440673828125
80,772.1470947265625,687.453857421875,430.9208984375,400.218994140625,-187.8529052734375
90,777.1029663085938,657.06298828125,388.76153564453125,433.402587890625,-182.89703369140625
90,778.0597534179688,657.3558349609375,385.00469970703125,432.5364990234375,-181.94024658203125
90,779.50146484375,655.4708251953125,382.3927001953125,433.5950927734375,-180.49853515625
90,779.77294921875,656.89892578125,384.535400390625,433.35205078125,-180.22705078125
90,779.5530395507812,657.2088623046875,384.67864990234375,433.03662109375,-180.44696044921875
100,814.2341918945312,635.1622924804688,359.53619384765625,452.62335205078125,-145.76580810546875
100,816.3316650390625,635.798828125,356.85009765625,451.283935546875,-143.6683349609375
100,817.4268798828125,634.434326171875,354.760986328125,452.2554931640625,-142.5731201171875
100,816.5277099609375,635.0077514648438,355.7100830078125,452.51519775390625,-143.4722900390625
100,814.390625,635.7800903320312,358.91357421875,452.35784912109375,-145.609375
110,810.277587890625,651.464599609375,342.529541015625,411.77001953125,-149.722412109375
110,810.3602294921875,651.8434448242188,342.7542724609375,410.21112060546875,-149.6397705078125
110,809.5712280273438,650.601318359375,344.38336181640625,412.1656494140625,-150.42877197265625
110,809.6981811523438,652.930419921875,344.79827880859375,409.74853515625,-150.30181884765625
110,810.19384765625,651.6829833984375,342.4093017578125,408.9427490234375,-149.80615234375
120,813.7665405273438,638.2118530273438,314.77764892578125,379.61541748046875,-146.23345947265625
120,811.7088623046875,644.0833129882812,319.8350830078125,369.0767822265625,-148.2911376953125
120,811.4404907226562,642.0127563476562,320.89739990234375,369.79022216796875,-148.55950927734375
120,811.7896728515625,640.7578125,318.244384765625,369.2177734375,-148.2103271484375
120,812.7233276367188,640.0524291992188,316.16790771484375,370.01202392578125,-147.27667236328125
130,812.135498046875,654.2005615234375,316.771728515625,319.17584228515625,-147.864501953125
130,809.973876953125,654.9169921875,319.172607421875,319.47705078125,-150.026123046875
130,810.6749877929688,653.4597778320312,317.01666259765625,319.71966552734375,-149.32501220703125
130,808.3392333984375,655.595458984375,319.1763916015625,314.77435302734375,-151.6607666015625
130,808.4427490234375,654.23583984375,322.1822509765625,318.87811279296875,-151.5572509765625
140,836.1937255859375,642.89697265625,273.4810791015625,296.43365478515625,-123.8062744140625
140,839.2481079101562,642.5775756835938,266.55560302734375,296.16552734375,-120.75189208984375
140,839.0135498046875,642.3634033203125,266.371337890625,297.5679931640625,-120.9864501953125
140,836.1721801757812,644.5064086914062,270.05560302734375,293.95867919921875,-123.82781982421875
140,837.2650756835938,644.6879272460938,269.01922607421875,293.88616943359375,-122.73492431640625
150,847.6541137695312,611.0593872070312,258.63128662109375,303.85906982421875,-112.34588623046875
150,846.8562622070312,610.1717529296875,259.22845458984375,303.8800048828125,-113.14373779296875
150,846.5917358398438,610.6851806640625,257.87713623046875,303.1171875,-113.40826416015625
150,844.5337524414062,607.3501586914062,260.22430419921875,308.24420166015625,-115.46624755859375
150,843.8021850585938,613.1339111328125,258.13983154296875,301.867919921875,-116.19781494140625
160,857.2025146484375,634.564697265625,227.490234375,258.7958984375,-102.7974853515625
160,857.4177856445312,635.404541015625,228.73077392578125,252.14666748046875,-102.58221435546875
160,855.8496704101562,633.3292846679688,230.00555419921875,254.45794677734375,-104.15032958984375
160,856.908447265625,633.044921875,228.9388427734375,254.8111572265625,-103.091552734375
160,857.4530639648438,634.8248901367188,228.75714111328125,252.3660888671875,-102.54693603515625
170,862.935791015625,662.2476806640625,174.4832763671875,235.6396484375,-97.064208984375
170,865.7913208007812,660.3099365234375,173.49615478515625,237.6854248046875,-94.20867919921875
170,858.938232421875,666.0281372070312,177.8045654296875,223.5728759765625,-101.061767578125
170,862.4813842773438,659.2568359375,176.35919189453125,239.83441162109375,-97.51861572265625
170,867.0053100585938,662.5916748046875,180.80743408203125,226.43988037109375,-92.99468994140625
180,852.0032958984375,677.6412353515625,174.945556640625,180.02215576171875,-107.9967041015625
180,846.0106201171875,676.4898681640625,171.3367919921875,185.7294921875,-113.9893798828125
180,844.9942626953125,684.0010986328125,176.59075927734375,177.55078125,-115.0057373046875
180,830.2295532226562,588.2044067382812,275.14654541015625,175.8839111328125,-129.77044677734375
180,848.7216186523438,675.8262939453125,170.44024658203125,182.1781005859375,-111.27838134765625
180,832.62939453125,591.0820922851562,275.538818359375,183.1004638671875,-127.37060546875
180,845.7247314453125,676.7427978515625,171.0599365234375,189.15869140625,-114.2752685546875
190,858.5560302734375,681.0432739257812,198.84814453125,129.25274658203125,-101.4439697265625
190,859.2993774414062,682.3075561523438,197.22576904296875,126.6904296875,-100.70062255859375
190,862.9824829101562,684.372314453125,196.51153564453125,127.16314697265625,-97.01751708984375
190,859.111328125,680.6778564453125,194.83935546875,127.470947265625,-100.888671875
